Run,Date,Nevents,Particle,Energy,Configuration,CaloConfiguration,NeventsInFile,RechitEnergySumMean,RechitEnergySumMedian
384,2018-10-13 10:20:00,11958,electron,250,22b,1,11958.0,20543.365234375,20891.564453125
385,2018-10-13 10:31:00,10161,electron,250,22b,1,10161.0,20440.45703125,20784.265625
386,2018-10-13 10:45:00,12097,electron,250,22b,1,12097.0,20464.390625,20802.7578125
389,2018-10-13 11:10:00,10305,electron,250,22b,1,10305.0,20434.28125,20783.125
390,2018-10-13 11:19:00,10880,electron,250,22b,1,10888.0,20463.5,20820.23046875
391,2018-10-13 11:31:00,3326,electron,250,22b,1,3325.0,20544.236328125,20873.705078125
392,2018-10-13 11:35:00,10204,electron,250,22b,1,10204.0,20431.400390625,20806.875
393,2018-10-13 11:48:00,5196,electron,250,22b,1,5196.0,20435.146484375,20797.69921875
397,2018-10-13 12:18:00,13521,electron,250,22b,1,13521.0,20562.912109375,20929.38671875
398,2018-10-13 12:37:00,12614,electron,250,22b,1,12614.0,20569.775390625,20911.15234375
399,2018-10-13 12:52:00,10269,electron,250,22b,1,10269.0,20562.3203125,20911.513671875
404,2018-10-13 14:47:00,13199,electron,250,22b,1,13279.0,20507.912109375,20891.041015625
405,2018-10-13 15:07:00,10300,electron,300,22b,1,10298.0,24202.51953125,24743.1171875
406,2018-10-13 15:25:00,4619,electron,300,22b,1,4618.0,24203.359375,24753.7578125
407,2018-10-13 15:39:00,5049,electron,300,22b,1,5049.0,24207.001953125,24795.599609375
408,2018-10-13 15:48:00,1742,electron,300,22b,1,1742.0,24228.013671875,24798.2734375
411,2018-10-13 15:59:00,10366,electron,300,22b,1,10366.0,24248.384765625,24785.302734375
412,2018-10-13 16:16:00,9680,electron,300,22b,1,9680.0,24206.982421875,24762.921875
414,2018-10-13 16:55:00,13285,electron,300,22b,1,13285.0,24277.15625,24833.734375
415,2018-10-13 17:18:00,11321,electron,300,22b,1,11321.0,24279.671875,24808.748046875
416,2018-10-13 17:37:00,14581,electron,300,22b,1,14581.0,24282.771484375,24829.291015625
418,2018-10-13 18:04:00,10126,electron,300,22b,1,10126.0,24228.521484375,24792.046875
419,2018-10-13 18:22:00,11189,electron,300,22b,1,11189.0,24284.822265625,24822.3203125
420,2018-10-13 18:40:00,10242,electron,300,22b,1,10242.0,24262.123046875,24835.16796875
421,2018-10-13 18:57:00,7314,electron,300,22b,1,7314.0,24269.279296875,24836.025390625
422,2018-10-13 19:14:00,10478,electron,300,22b,1,10478.0,24298.06640625,24858.630859375
423,2018-10-13 19:31:00,6820,electron,300,22b,1,6820.0,24316.24609375,24852.6328125
424,2018-10-13 20:05:00,11528,electron,300,22b,1,11528.0,24483.80859375,25010.708984375
425,2018-10-13 20:29:00,11593,electron,300,22b,1,11593.0,24423.3046875,24963.6640625
426,2018-10-13 20:47:00,2757,electron,300,22b,1,2757.0,24492.18359375,24997.818359375
429,2018-10-13 21:27:00,2171,electron,300,22b,1,2171.0,24524.1640625,25017.375
430,2018-10-13 21:38:00,10505,electron,300,22b,1,10505.0,24450.63671875,24978.56640625
431,2018-10-13 21:58:00,4373,electron,300,22b,1,4373.0,24391.638671875,24978.54296875
432,2018-10-13 22:28:00,2927,electron,300,22b,1,2927.0,24407.05078125,24974.314453125
433,2018-10-13 22:47:00,10143,electron,300,22b,1,10143.0,24465.0234375,24984.818359375
435,2018-10-13 23:50:00,12019,electron,300,22b,1,12019.0,24472.271484375,24985.93359375
436,2018-10-14 00:49:00,0,electron,20,22b,1,2837.0,1596.6898193359375,1728.4072265625
437,2018-10-14 01:04:00,10274,electron,20,22b,1,10274.0,1591.860595703125,1731.176025390625
439,2018-10-14 01:38:00,10204,electron,20,22b,1,10204.0,1607.675048828125,1738.8876953125
441,2018-10-14 02:11:00,12000,electron,20,22b,1,11861.0,1590.8714599609375,1726.3358154296875
442,2018-10-14 02:38:00,11081,electron,20,22b,1,11081.0,1591.43017578125,1729.2962646484375
443,2018-10-14 02:49:00,0,electron,20,22b,1,2228.0,1595.003173828125,1730.533935546875
444,2018-10-14 02:54:00,10464,electron,20,22b,1,10464.0,1595.04833984375,1731.0576171875
447,2018-10-14 03:13:00,0,electron,20,22b,1,6287.0,1590.855224609375,1729.8421630859375
450,2018-10-14 03:30:00,10238,electron,20,22b,1,10238.0,1599.73486328125,1730.0595703125
451,2018-10-14 03:41:00,10687,electron,20,22b,1,10687.0,1591.134521484375,1729.44482421875
452,2018-10-14 03:53:00,11181,electron,20,22b,1,11181.0,1587.433837890625,1728.7298583984375
453,2018-10-14 04:05:00,11414,electron,20,22b,1,11414.0,1584.8109130859375,1722.6392822265625
455,2018-10-14 04:22:00,10962,electron,20,22b,1,10962.0,1591.0677490234375,1728.59521484375
456,2018-10-14 04:40:00,11266,electron,50,22b,1,11289.0,4208.37744140625,4351.58349609375
457,2018-10-14 04:53:00,10050,electron,50,22b,1,10050.0,4208.287109375,4348.3369140625
458,2018-10-14 05:03:00,10119,electron,50,22b,1,10119.0,4209.6865234375,4352.9912109375
459,2018-10-14 05:14:00,10575,electron,50,22b,1,10575.0,4210.69384765625,4351.8056640625
460,2018-10-14 05:28:00,10773,electron,50,22b,1,10773.0,4211.69287109375,4349.5478515625
461,2018-10-14 05:41:00,10546,electron,50,22b,1,10546.0,4214.7548828125,4349.3125
462,2018-10-14 05:53:00,10195,electron,50,22b,1,10195.0,4216.29638671875,4352.4892578125
463,2018-10-14 06:04:00,10541,electron,50,22b,1,10541.0,4208.201171875,4345.3388671875
464,2018-10-14 06:16:00,10820,electron,50,22b,1,10820.0,4211.087890625,4352.6552734375
465,2018-10-14 06:28:00,10111,electron,50,22b,1,10111.0,4297.57666015625,4421.54638671875
466,2018-10-14 06:43:00,13899,electron,80,22b,1,13899.0,6886.75048828125,7052.72607421875
