Run,Date,Nevents,Particle,Energy,Configuration,CaloConfiguration,NeventsInFile,RechitEnergySumMean,RechitEnergySumMedian
384,2018-10-13 10:20:00,11958,electron,250,22b,1,11958.0,22096.962890625,22463.49609375
385,2018-10-13 10:31:00,10161,electron,250,22b,1,10161.0,22062.779296875,22421.515625
386,2018-10-13 10:45:00,12097,electron,250,22b,1,12097.0,22084.3828125,22450.74609375
389,2018-10-13 11:10:00,10305,electron,250,22b,1,10305.0,22050.515625,22419.318359375
390,2018-10-13 11:19:00,10880,electron,250,22b,1,10888.0,22082.3359375,22448.205078125
391,2018-10-13 11:31:00,3326,electron,250,22b,1,3325.0,22099.556640625,22439.12890625
392,2018-10-13 11:35:00,10204,electron,250,22b,1,10204.0,22049.265625,22442.859375
393,2018-10-13 11:48:00,5196,electron,250,22b,1,5196.0,22051.908203125,22424.13671875
397,2018-10-13 12:18:00,13521,electron,250,22b,1,13521.0,22182.12109375,22571.326171875
398,2018-10-13 12:37:00,12614,electron,250,22b,1,12614.0,22192.1328125,22547.359375
399,2018-10-13 12:52:00,10269,electron,250,22b,1,10269.0,22184.939453125,22548.001953125
404,2018-10-13 14:47:00,13199,electron,250,22b,1,13279.0,22130.29296875,22528.0546875
405,2018-10-13 15:07:00,10300,electron,300,22b,1,10298.0,26137.638671875,26707.91796875
406,2018-10-13 15:25:00,4619,electron,300,22b,1,4618.0,26134.146484375,26680.109375
407,2018-10-13 15:39:00,5049,electron,300,22b,1,5049.0,26152.716796875,26778.740234375
408,2018-10-13 15:48:00,1742,electron,300,22b,1,1742.0,26178.48046875,26788.107421875
411,2018-10-13 15:59:00,10366,electron,300,22b,1,10366.0,26194.70703125,26757.77734375
412,2018-10-13 16:16:00,9680,electron,300,22b,1,9680.0,26150.876953125,26723.865234375
414,2018-10-13 16:55:00,13285,electron,300,22b,1,13285.0,26237.357421875,26824.4140625
415,2018-10-13 17:18:00,11321,electron,300,22b,1,11321.0,26237.326171875,26799.54296875
416,2018-10-13 17:37:00,14581,electron,300,22b,1,14581.0,26243.564453125,26822.93359375
418,2018-10-13 18:04:00,10126,electron,300,22b,1,10126.0,26176.763671875,26772.15234375
419,2018-10-13 18:22:00,11189,electron,300,22b,1,11189.0,26239.10546875,26805.453125
420,2018-10-13 18:40:00,10242,electron,300,22b,1,10242.0,26212.443359375,26811.3046875
421,2018-10-13 18:57:00,7314,electron,300,22b,1,1341.0,26251.1796875,26765.4921875
422,2018-10-13 19:14:00,10478,electron,300,22b,1,10478.0,26252.21875,26845.48828125
423,2018-10-13 19:31:00,6820,electron,300,22b,1,6820.0,26268.03125,26831.83203125
424,2018-10-13 20:05:00,11528,electron,300,22b,1,11528.0,26473.96484375,27014.580078125
425,2018-10-13 20:29:00,11593,electron,300,22b,1,11593.0,26407.794921875,26970.576171875
426,2018-10-13 20:47:00,2757,electron,300,22b,1,2757.0,26482.2265625,27004.66796875
429,2018-10-13 21:27:00,2171,electron,300,22b,1,2171.0,26516.08203125,27019.99609375
430,2018-10-13 21:38:00,10505,electron,300,22b,1,10505.0,26443.10546875,26984.951171875
431,2018-10-13 21:58:00,4373,electron,300,22b,1,4373.0,26373.759765625,26969.1484375
432,2018-10-13 22:28:00,2927,electron,300,22b,1,2927.0,26385.8046875,26981.724609375
433,2018-10-13 22:47:00,10143,electron,300,22b,1,10143.0,26445.978515625,26983.830078125
435,2018-10-13 23:50:00,12019,electron,300,22b,1,12019.0,26448.576171875,26979.177734375
436,2018-10-14 00:49:00,0,electron,20,22b,1,2837.0,1768.973388671875,1883.403076171875
437,2018-10-14 01:04:00,10274,electron,20,22b,1,10274.0,1775.2835693359375,1893.25390625
439,2018-10-14 01:38:00,10204,electron,20,22b,1,10204.0,1788.332763671875,1897.937744140625
441,2018-10-14 02:11:00,12000,electron,20,22b,1,11861.0,1782.6632080078125,1897.777587890625
442,2018-10-14 02:38:00,11081,electron,20,22b,1,11081.0,1783.7830810546875,1899.476806640625
443,2018-10-14 02:49:00,0,electron,20,22b,1,2228.0,1787.857421875,1903.072265625
444,2018-10-14 02:54:00,10464,electron,20,22b,1,10464.0,1789.7587890625,1903.987548828125
447,2018-10-14 03:13:00,0,electron,20,22b,1,6287.0,1788.8519287109375,1908.909912109375
450,2018-10-14 03:30:00,10238,electron,20,22b,1,10238.0,1795.366455078125,1904.111328125
451,2018-10-14 03:41:00,10687,electron,20,22b,1,10687.0,1786.2625732421875,1903.828369140625
452,2018-10-14 03:53:00,11181,electron,20,22b,1,11181.0,1784.4696044921875,1899.98046875
453,2018-10-14 04:05:00,11414,electron,20,22b,1,11414.0,1779.1287841796875,1894.261474609375
455,2018-10-14 04:22:00,10962,electron,20,22b,1,10962.0,1784.425048828125,1901.0325927734375
456,2018-10-14 04:40:00,11266,electron,50,22b,1,11289.0,4606.97900390625,4739.86767578125
457,2018-10-14 04:53:00,10050,electron,50,22b,1,10050.0,4607.6884765625,4736.962890625
458,2018-10-14 05:03:00,10119,electron,50,22b,1,10119.0,4608.84375,4741.52001953125
459,2018-10-14 05:14:00,10575,electron,50,22b,1,10575.0,4611.21923828125,4735.427734375
460,2018-10-14 05:28:00,10773,electron,50,22b,1,10773.0,4617.50537109375,4743.89501953125
461,2018-10-14 05:41:00,10546,electron,50,22b,1,10546.0,4618.64599609375,4740.115234375
462,2018-10-14 05:53:00,10195,electron,50,22b,1,10195.0,4617.76611328125,4743.3740234375
463,2018-10-14 06:04:00,10541,electron,50,22b,1,10541.0,4609.55810546875,4734.1953125
464,2018-10-14 06:16:00,10820,electron,50,22b,1,10820.0,4609.44384765625,4737.16796875
465,2018-10-14 06:28:00,10111,electron,50,22b,1,10111.0,4621.2265625,4746.13525390625
466,2018-10-14 06:43:00,13899,electron,80,22b,1,13899.0,7411.71533203125,7583.7919921875
467,2018-10-14 06:57:00,13423,electron,80,22b,1,13423.0,7404.00439453125,7578.59326171875
468,2018-10-14 07:16:00,10398,electron,80,22b,1,10398.0,7419.140625,7585.8662109375
469,2018-10-14 07:26:00,11719,electron,80,22b,1,11719.0,7402.93603515625,7576.7294921875
470,2018-10-14 07:38:00,10048,electron,80,22b,1,10048.0,7419.9521484375,7584.296875
471,2018-10-14 07:50:00,10350,electron,80,22b,1,10350.0,7421.44921875,7584.443359375
472,2018-10-14 08:10:00,10012,electron,80,22b,1,10012.0,7409.99755859375,7589.2724609375
473,2018-10-14 08:37:00,10145,electron,80,22b,1,10145.0,7415.1162109375,7589.015625
474,2018-10-14 09:04:00,10659,electron,80,22b,1,10659.0,7422.55810546875,7587.11181640625
475,2018-10-14 09:33:00,11000,electron,80,22b,1,12647.0,7402.99462890625,7574.8828125
477,2018-10-14 10:00:00,10162,electron,100,22b,1,10162.0,9235.064453125,9461.83984375
479,2018-10-14 10:12:00,10240,electron,100,22b,1,10240.0,9224.130859375,9448.9091796875
480,2018-10-14 10:24:00,10089,electron,100,22b,1,10089.0,9229.4365234375,9459.23046875
481,2018-10-14 10:35:00,12073,electron,100,22b,1,12073.0,9215.83984375,9451.1220703125
483,2018-10-14 10:57:00,10348,electron,100,22b,1,10348.0,9234.1201171875,9331.99609375
484,2018-10-14 11:08:00,10734,electron,100,22b,1,10734.0,9217.87109375,9451.6796875
486,2018-10-14 11:20:00,10047,electron,100,22b,1,10047.0,9222.3232421875,9451.533203125
487,2018-10-14 11:32:00,10203,electron,100,22b,1,10203.0,9234.181640625,9452.0517578125
489,2018-10-14 11:47:00,10165,electron,100,22b,1,10165.0,9216.533203125,9446.5703125
490,2018-10-14 11:58:00,10413,electron,100,22b,1,10413.0,9214.1279296875,9442.9072265625
491,2018-10-14 12:09:00,10176,electron,100,22b,1,10176.0,9217.4794921875,9442.94921875
493,2018-10-14 12:25:00,10672,electron,150,22b,1,10672.0,13586.453125,14069.5517578125
494,2018-10-14 12:40:00,12220,electron,150,22b,1,12220.0,13557.7685546875,14075.994140625
495,2018-10-14 12:53:00,10544,electron,150,22b,1,10544.0,13596.1142578125,14071.771484375
496,2018-10-14 13:03:00,21977,electron,150,22b,1,21977.0,13574.197265625,14074.3310546875
501,2018-10-14 14:08:00,10499,electron,150,22b,1,10499.0,13587.90625,14069.9814453125
502,2018-10-14 14:17:00,10728,electron,150,22b,1,10728.0,13564.5595703125,14066.66015625
503,2018-10-14 14:28:00,10018,electron,150,22b,1,10018.0,13560.6259765625,14065.408203125
504,2018-10-14 14:39:00,10933,electron,150,22b,1,10933.0,13550.669921875,14054.33984375
505,2018-10-14 14:50:00,12459,electron,150,22b,1,12458.0,13530.6015625,14054.642578125
506,2018-10-14 15:03:00,8800,electron,150,22b,1,9073.0,13594.5595703125,14072.404296875
507,2018-10-14 15:16:00,10589,electron,150,22b,1,10589.0,13586.4111328125,14066.1123046875
508,2018-10-14 15:28:00,10183,electron,150,22b,1,10183.0,13536.4150390625,14052.3984375
509,2018-10-14 15:39:00,10279,electron,150,22b,1,10286.0,13537.46875,14055.94921875
512,2018-10-14 16:38:00,20000,pion,300,22b,1,20029.0,8404.1611328125,7224.7578125
513,2018-10-14 17:01:00,13480,pion,300,22b,1,13481.0,8352.8134765625,7120.0859375
515,2018-10-14 17:16:00,13866,pion,300,22b,1,13866.0,8541.1904296875,7456.64599609375
516,2018-10-14 17:34:00,11021,pion,300,22b,1,11020.0,8344.3662109375,7132.95166015625
