Run,date,Nevents,Particle,Energy,AHCAL,DWC,MCPs,XCET 523,XCET 507,Pressure of XCET 507,Pressure of XCET 523
179,2018-10-11 01:20:00,13953,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
180,2018-10-11 01:45:00,11000,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
181,2018-10-11 01:57:00,10226,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
182,2018-10-11 02:08:00,12376,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
183,2018-10-11 02:20:00,12249,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
184,2018-10-11 02:33:00,10765,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
185,2018-10-11 02:44:00,12061,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
186,2018-10-11 02:59:00,10460,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
187,2018-10-11 03:07:00,10856,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
188,2018-10-11 03:18:00,10121,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
189,2018-10-11 03:30:00,11060,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
190,2018-10-11 03:42:00,10306,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
191,2018-10-11 03:52:00,10442,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
192,2018-10-11 04:04:00,11810,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
193,2018-10-11 04:16:00,10790,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
194,2018-10-11 04:28:00,10440,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
195,2018-10-11 04:39:00,11722,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
196,2018-10-11 04:50:00,18081,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
197,2018-10-11 05:09:00,10374,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
198,2018-10-11 05:19:00,10002,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
199,2018-10-11 05:30:00,15360,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
200,2018-10-11 05:45:00,10262,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
201,2018-10-11 05:56:00,10878,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
206,2018-10-11 06:09:00,10226,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
207,2018-10-11 06:18:00,11357,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
208,2018-10-11 06:30:00,9964,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
209,2018-10-11 06:40:00,11375,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
210,2018-10-11 06:52:00,9982,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
211,2018-10-11 07:02:00,10192,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
212,2018-10-11 07:14:00,10172,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
213,2018-10-11 07:40:00,13321,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
214,2018-10-11 08:21:00,5068,electron,150,OUT,OUT,OUT,OUT,OUT,-1,-1
215,2018-10-11 08:39:00,1453,pion,200,OUT,OUT,OUT,OUT,OUT,-1,-1
216,2018-10-11 08:43:00,10846,pion,200,OUT,OUT,OUT,OUT,OUT,-1,-1
258,2018-10-11 20:10:00,3000,electron,100,IN,IN,OUT,OUT,OUT,-1,-1
259,2018-10-11 20:35:00,4841,electron,100,IN,IN,OUT,OUT,OUT,-1,-1
260,2018-10-11 21:07:00,12000,electron,100,IN,IN,OUT,OUT,OUT,-1,-1
265,2018-10-11 22:00:00,10000,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
267,2018-10-11 22:30:00,11500,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
268,2018-10-11 23:00:00,1000,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
269,2018-10-11 23:10:00,11900,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
270,2018-10-11 23:25:00,10700,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
271,2018-10-11 23:40:00,10253,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
272,2018-10-12 00:01:00,10298,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
273,2018-10-12 00:16:00,10000,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
275,2018-10-12 00:41:00,10412,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
276,2018-10-12 00:54:00,10426,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
277,2018-10-12 01:27:00,10694,electron,100,IN,OUT,OUT,OUT,OUT,-1,-1
278,2018-10-12 02:00:00,10048,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
279,2018-10-12 02:16:00,10033,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
280,2018-10-12 02:32:00,10288,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
281,2018-10-12 02:49:00,10380,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
282,2018-10-12 03:04:00,10470,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
283,2018-10-12 03:20:00,10511,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
284,2018-10-12 03:36:00,4102,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
285,2018-10-12 03:57:00,10297,electron,80,IN,OUT,OUT,OUT,OUT,-1,-1
