# from https://gitlab.cern.ch/cms-hgcal-tb/hgcdedxcalculator/blob/master/data/Oct2018_CERN/config2/samplingfactors.txt
Layer,dE,X0,Lambda
1,11.289,1.000,0.051
2,9.851,1.980,0.113
3,9.851,2.915,0.147
4,9.851,3.895,0.209
5,9.851,4.829,0.244
6,9.851,5.809,0.306
7,9.851,6.744,0.340
8,9.851,7.724,0.402
9,9.851,8.659,0.437
10,9.851,9.639,0.499
11,9.851,10.574,0.533
12,9.851,11.554,0.595
13,9.851,12.489,0.630
14,9.851,13.469,0.692
15,9.851,14.404,0.726
16,9.851,15.384,0.789
17,9.851,16.319,0.823
18,9.851,17.299,0.885
19,9.851,18.234,0.919
20,9.851,19.214,0.982
21,11.360,20.149,1.016
22,11.360,21.296,1.094
23,11.360,22.231,1.128
24,11.360,23.378,1.206
25,10.995,24.313,1.240
26,10.995,25.561,1.313
27,11.153,26.496,1.348
28,13.289,27.782,1.422
29,10.899,28.345,1.484
30,33.153,29.058,1.536
31,56.900,31.911,1.830
32,56.884,34.846,2.131
33,85.463,37.697,2.424
34,86.233,43.480,3.024
35,57.654,46.416,3.325
36,58.083,49.351,3.626
37,58.083,52.481,3.931
38,57.654,55.417,4.232
39,57.544,58.353,4.534
# End     61.276,4.834
# Sum     908.887
